duration,protocol_type,service,flag,src_bytes,dst_bytes,land,wrong_fragment,urgent,hot,num_failed_logins,logged_in,num_compromised,root_shell,su_attempted,num_root,num_file_creations,num_shells,num_access_files,num_outbound_cmds,is_host_login,is_guest_login,count,srv_count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate,attack_type,level,attack_family
0,tcp,domain_u,SF,755,5868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,0.0004779892821417195,0.009246656515792727,0.005880577426174058,0.016252535742475323,0.9829492927218934,0.11548467263348745,0.08528562655992195,53,33,0.8674531761431665,0.003544928991315066,0.0326699553322904,0.08741103456880923,0.019895892542490135,0.02214893302034647,0.02791001399684301,0.01183646999767951,normal,21,Normal
0,tcp,http,S0,1460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,387,65,0.9420844256314999,0.9420844256314999,0.0,0.0,0.9154423120695379,0.0062340824863494244,0.0,255,11,0.16926431900527275,0.38586016757695635,0.015128505935956183,0.0,0.9420844256314999,0.9420844256314999,0.0,0.0,teardrop,4,DoS
1,tcp,http,SF,250,5169,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,6,0.017485381532217195,0.00033709829968350574,3.976853424690673e-05,3.449881077784798e-05,0.955463758913695,0.03393915035376059,0.038803288247791605,232,222,0.9364576517954114,0.09340716290710965,0.024986622608843465,0.08642027541966124,0.015851403042479586,0.04435254185615179,0.03569796367010068,0.017216020366953754,normal,21,Normal
1,tcp,http,SF,3040,2150,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14,9,0.0012465902531998856,0.002756817136916405,0.014207316068323102,1.3412040144409223e-05,0.9744059617740496,0.08582402765554327,0.1461284949577689,56,43,0.8056328356676186,0.013040871091137074,0.12583568676810072,0.012914044518680346,0.04764835764969117,0.031154033351059568,0.04163383988867222,0.012682977499965326,normal,21,Normal
0,udp,http,S0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,389,0.9113836583109303,0.9113836583109303,0.0,0.0,0.9612685851990013,0.0626490621563766,0.0,255,24,0.13271020518109033,0.24832100164735776,0.06197692323186963,0.0,0.9113836583109303,0.9113836583109303,0.0,0.0,neptune,8,DoS
0,tcp,http,SF,1575,13214,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,1,0.05169489237388207,0.004385164321245518,0.00923781411252958,0.011077947168826714,0.990043858487047,0.08367362749429698,0.009815901229209813,100,131,0.7096775514405591,0.07900064600816101,0.1363871691893838,0.033004852289525925,0.0285524974670013,0.021042812713223943,0.007888310623198192,0.02118311951171923,normal,21,Normal
0,icmp,private,S0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315,392,0.9557236445633053,0.9557236445633053,0.0,0.0,0.9580608101854946,0.01729915423317816,0.0,255,18,0.1482620099318464,0.2719673151574313,0.01600528433616846,0.0,0.9557236445633053,0.9557236445633053,0.0,0.0,smurf,4,DoS
0,icmp,private,S0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,376,0.9702827797551468,0.9702827797551468,0.0,0.0,0.9213518701824754,0.01768359533468781,0.0,255,16,0.06710971097625919,0.16769418893532517,0.11034934633079913,0.0,0.9702827797551468,0.9702827797551468,0.0,0.0,teardrop,5,DoS
3,tcp,domain_u,SF,517,2077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0.010910828162573974,0.000239787435845446,0.0004604422797296754,0.09259624566513823,0.8720115225044179,0.1299658513100995,0.03228734770605701,133,226,0.9423948639349644,0.061607845536340335,0.1617528677659126,0.08033084611653886,0.013643764907975343,0.046336494392270805,0.01365256835725695,0.011989749386142702,normal,21,Normal
1,icmp,private,RSTO,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,5,0.0,0.0,0.5499930854969939,0.7601573931311001,0.21608368321350913,0.7265141593049184,0.6493577147951534,255,15,0.1959616675579958,0.5352129410866707,0.7034895307434963,0.7614989077160548,0.0,0.0,0.5983516321164453,0.6066508704408307,satan,14,Probe
0,udp,http,SF,219,2461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,0.007496804086689073,0.01714921333157691,0.0015083475943041122,0.018665350881505838,0.919803903910907,0.04691699430526065,0.10426578227006376,101,72,0.8156418160318752,0.02678181228256188,0.2652990504545092,0.06189805166332685,0.03130930967921509,0.029018750656490528,0.04294875320197706,0.03506706611681679,normal,21,Normal
0,icmp,finger,S0,1460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,143,0.8534424862104428,0.8534424862104428,0.0,0.0,0.9300433855598269,0.039171250393379445,0.0,255,49,0.031151764293156532,0.2323036669547594,0.16048514894670404,0.0,0.8534424862104428,0.8534424862104428,0.0,0.0,back,12,DoS
